1 2
3 4

4 3
2 1
----------
8 5
20 13

 1  2  3  4
 5  6  7  8
 9 10 11 12
13 14 15 16

13 14 15 16
 9 10 11 12
 5  6  7  8
 1  2  3  4
-------------------
 50  60  70  80
162 188 214 240
274 316 358 400
386 444 502 560


1 2 3 4 5 6 7 8
9 10 11 12 13 14 15 16
8 7 6 5 4 3 2 1
16 15 14 13 12 11 10 9
1 2 3 4 5 6 7 8
9 10 11 12 13 14 15 16
8 7 6 5 4 3 2 1
16 15 14 13 12 11 10 9

16 15 14 13 12 11 10 9
8 7 6 5 4 3 2 1
9 10 11 12 13 14 15 16
1 2 3 4 5 6 7 8
16 15 14 13 12 11 10 9
8 7 6 5 4 3 2 1
9 10 11 12 13 14 15 16
1 2 3 4 5 6 7 8
-----------------------
262 270 278 286 294 302 310 318
806 814 822 830 838 846 854 862
350 342 334 326 318 310 302 294
894 886 878 870 862 854 846 838
262 270 278 286 294 302 310 318
806 814 822 830 838 846 854 862
350 342 334 326 318 310 302 294
894 886 878 870 862 854 846 838

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32
3 2 1 1 2 3 3 2 1 1 2 3 3 2 1 1
2 4 6 6 4 2 2 4 6 6 4 2 2 4 6 6
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32
3 2 1 1 2 3 3 2 1 1 2 3 3 2 1 1
2 4 6 6 4 2 2 4 6 6 4 2 2 4 6 6
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32
3 2 1 1 2 3 3 2 1 1 2 3 3 2 1 1
2 4 6 6 4 2 2 4 6 6 4 2 2 4 6 6
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32
3 2 1 1 2 3 3 2 1 1 2 3 3 2 1 1
2 4 6 6 4 2 2 4 6 6 4 2 2 4 6 6

2 4 6 6 4 2 2 4 6 6 4 2 2 4 6 6
3 2 1 1 2 3 3 2 1 1 2 3 3 2 1 1
2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
2 4 6 6 4 2 2 4 6 6 4 2 2 4 6 6
3 2 1 1 2 3 3 2 1 1 2 3 3 2 1 1
2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
2 4 6 6 4 2 2 4 6 6 4 2 2 4 6 6
3 2 1 1 2 3 3 2 1 1 2 3 3 2 1 1
2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
2 4 6 6 4 2 2 4 6 6 4 2 2 4 6 6
3 2 1 1 2 3 3 2 1 1 2 3 3 2 1 1
2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
---------------------------------------------
 264  400  536  648  736  824  936 1072 1208 1320 1408 1496 1608 1744 1880 1992
 528  800 1072 1296 1472 1648 1872 2144 2416 2640 2816 2992 3216 3488 3760 3984
  63   94  125  146  157  168  189  220  251  272  283  294  315  346  377  398
 130  196  262  316  358  400  454  520  586  640  682  724  778  844  910  964
 264  400  536  648  736  824  936 1072 1208 1320 1408 1496 1608 1744 1880 1992
 528  800 1072 1296 1472 1648 1872 2144 2416 2640 2816 2992 3216 3488 3760 3984
  63   94  125  146  157  168  189  220  251  272  283  294  315  346  377  398
 130  196  262  316  358  400  454  520  586  640  682  724  778  844  910  964
 264  400  536  648  736  824  936 1072 1208 1320 1408 1496 1608 1744 1880 1992
 528  800 1072 1296 1472 1648 1872 2144 2416 2640 2816 2992 3216 3488 3760 3984
  63   94  125  146  157  168  189  220  251  272  283  294  315  346  377  398
 130  196  262  316  358  400  454  520  586  640  682  724  778  844  910  964
 264  400  536  648  736  824  936 1072 1208 1320 1408 1496 1608 1744 1880 1992
 528  800 1072 1296 1472 1648 1872 2144 2416 2640 2816 2992 3216 3488 3760 3984
  63   94  125  146  157  168  189  220  251  272  283  294  315  346  377  398
 130  196  262  316  358  400  454  520  586  640  682  724  778  844  910  964
